,Year,Party,Topics
0,2016,Democratic,"Preamble, Raise Incomes and Restore Economic Security for the Middle Class , Create Good-Paying Jobs , Fight for Economic Fairness and Against Inequality , Bring Americans Together and Remove Barriers to Opportunities , Protect Voting Rights, Fix Our Campaign Finance System, and Restore Our Democracy , Combat Climate Change, Build a Clean Energy Economy, and Secure Environmental Justice , Provide Quality and Affordable Education , Ensure the Health and Safety of All Americans , Principled Leadership , Support Our Troops and Keep Faith with Our Veterans, Confront Global Threats , Protect Our Values, A Leader in the World"
1,2016,Republican,"Preamble, Rebuilding the Economy and Creating Jobs, Fair and Simple Taxes for Growth , Our Tax Principles,  A Competitive America, A Winning Trade Policy, Freeing Financial Markets, Responsible Homeownership and Rental Opportunities, America on the Move , Building the Future: Technology, Building the Future: America's Electric Grid, Start-up Century: Small Business and Entrepreneurship, The Federal Reserve, Workplace Freedom for a 21st Century Workforce, A Federal Workforce Serving the People, Reducing the Federal Debt, We the People, The Judiciary, Administrative Law, Defending Marriage Against an Activist Judiciary, The First Amendment: Religious Liberty, The First Amendment: Constitutionally Protected Speech, The Second Amendment: Our Right to Keep and Bear Arms, The Fourth Amendment: Liberty and Privacy, The Fifth Amendment: Protecting Human Life, The Fifth Amendment: Protecting Private Property, The Fifth Amendment: Intellectual Property Rights, The Ninth Amendment: The People's Retained Rights, The Tenth Amendment: Federalism as the Foundation of Personal Liberty, Honest Elections and the Electoral College, Honest Elections and the Right to Vote, Abundant Harvests, A New Era in Energy, Environmental Progress, Making Government Work for the People, Balancing the Budget, Preserving Medicare and Medicaid, Saving Social Security, Protecting Internet Freedom, Immigration and the Rule of Law, Reforming the Treaty System, Internal Revenue Service, Audit the Pentagon, Improving the Federal Workforce, Advancing Term Limits, Regulation: The Quiet Tyranny, Crony Capitalism and Corporate Welfare, Honoring Our Relationship with American Indians, Americans in the Territories, The Territory of Puerto Rico, Preserving the District of Columbia, American Values, Marriage, Family, and Society, A Culture of Hope,  Education: A Chance for Every Child, Academic Excellence for All, Choice in Education, Title IX, Improving Higher Education, College Costs, Restoring Patient Control and Preserving Quality in Healthcare, Protecting Individual Conscience in Healthcare, Better Care and Lower Costs: Tort Reform, Advancing Research and Development in Healthcare, Putting Patients First: Reforming the FDA, Advancing Americans with Disabilities, Ensuring Safe Neighborhoods: Criminal Justice and Prison Reform, Combatting Drug Abuse, A Dangerous World, Confronting the Dangers, Supporting Our Troops: Resources to do Their Job, Supporting Our Troops: Standing by Our Heroes, Citizen Soldiers: National Guard and Reserves, Honoring and Supporting Our Veterans: A Sacred Obligation, America: The Indispensable Nation , Challenges of a Changing Middle East, Our Unequivocal Support for Israel, U.S. Leadership in the Asian Pacific , Renewing the European Alliance, Family of the Americas, Africa: The Promise and the Challenge , Sovereign American Leadership in International Organizations, Defending International Religious Freedom, America's Generosity: International Assistance that Makes a Difference , Advancing Human Rights, Liberty to Captives: Combatting Human Trafficking, Facing 21st Century Threats:, Cybersecurity in an Insecure World, Protection Against an Electromagnetic Pulse, Confronting Internet Tyranny , Republican National Committee Chairman, Chairman, Co-Chairs, Subcommittee Co-Chairs, Restoring the American Dream, A Rebirth of Constitutional Government, America's Natural Resources: Agriculture, Energy, and the Environment, Government Reform, Great American Families, Education, Healthcare, and Criminal Justice, America Resurgent, ALABAMA, ALASKA, AMERICAN SAMOA, ARIZONA, ARKANSAS, CALIFORNIA, COLORADO, CONNECTICUT, DELAWARE, DISTRICT OF COLUMBIA, FLORIDA, GEORGIA, GUAM, HAWAII, IDAHO, ILLINOIS, INDIANA, IOWA, KANSAS, KENTUCKY, LOUISIANA, MAINE, MARYLAND, MASSACHUSETTS, MICHIGAN, MINNESOTA, MISSISSIPPI, MISSOURI, MONTANA, NEBRASKA, NEVADA, NEW HAMPSHIRE, NEW JERSEY, NEW MEXICO, NEW YORK, NORTH CAROLINA, NORTH DAKOTA, NORTHERN MARIANA ISLANDS, OHIO, OKLAHOMA, OREGON, PENNSYLVANIA, PUERTO RICO, RHODE ISLAND, SOUTH CAROLINA, SOUTH DAKOTA, TENNESSEE, TEXAS, UTAH, VERMONT, VIRGINIA, VIRGIN ISLANDS, WASHINGTON, WEST VIRGINIA, WISCONSIN, WYOMING, Administrative Team, Court Reporter, Policy Staff, Restoring the American Dream, A Rebirth of Constitutional Government, America's Natural Resources: Agriculture, Energy, and the Environment, Government Reform, Great American Families, Education, Healthcare, and Criminal Justice, America Resurgent, Former Executive Directors, Special Thanks"
2,2012,Democratic,"Moving America Forward, Rebuilding Middle Class Security, Putting Americans Back to Work, The Middle Class Bargain, Cutting Waste, Reducing the Deficit, Asking All to Pay Their Fair Share , Economy Built to Last , America Works When Everyone Plays by the Same Rules, Wall Street Reform , 21st Century Government: Transparent and Accountable , Lobbying Reform and Campaign Finance Reform , Greater Together, Strengthening the American Community , Protecting Rights and Freedoms , Ensuring Safety and Quality of Life , Stronger in the World, Safer and More Secure At Home, Responsibly Ending the War in Iraq , Disrupting, Dismantling, and Defeating Al-Qaeda , Responsibly Ending the War in Afghanistan , Preventing the Spread and Use of Nuclear Weapons , Countering Emerging Threats , Strengthening Alliances, Expanding Partnerships, and Reinvigorating International Institutions , Promoting Global Prosperity and Development , Maintaining the Strongest Military in the World , Advancing Universal Values , Middle Class Tax Cuts., Health Care., Stabilizing the Housing Market and Hard-Hit Communities, Social Security and Medicare., An Economy that Out-Educates the World and Offers Greater Access to Higher Education and Technical Training., All-of-the-Above Energy Policy, Out-Building and Out-Innovating the Rest of the World., Betting on American Manufacturing and the American Automobile Industry., Insourcing., Out-Building the Rest of the World. , Out-Innovating the Rest of the World., Standing Up for Workers., Helping Small Business., Opened Markets All Over the World for American Products., Immigration., Families., Supporting Troops, Military Families, and Veterans., Americans with Disabilities., Faith., Rural Communities and Agriculture., Agriculture., Tribal Sovereignty., Puerto Rico., Guam, American Samoa, U.S. Virgin Islands and the Commonwealth of the Northern Mariana Islands., Arts and Culture., Civil Rights., Women., Protecting A Woman's Right to Choose., Voting Rights., District of Columbia., Freedom to Marry., Firearms., Cities and Metro Areas., Poverty., Public Safety, Justice, and Crime Prevention, Service, Volunteerism, and Social Innovation., Environment., Reducing Nuclear Weapons Stockpiles., Preventing Nuclear Proliferation., Iran., North Korea., Securing Loose Nuclear Materials., Russia., Cybersecurity., Biological Weapons., Climate Change, Transnational Crime., Europe., Asia-Pacific., The Middle East., The Americas., Africa., The United Nations, Addressing the Global Financial Crisis., Free and Fair Trade., Advancing Global Development., Combating HIV/AIDS and Infectious Disease, Ensuring Food Security., Responding to Humanitarian Crises, Staying True to Our Values at Home., Standing With Those Demanding Greater Freedom, Promoting Transparent, Accountable Governance and the Rule of Law., Standing up for Women's Rights Around the Globe, Combating Human Trafficking., Gay Rights as Human Rights., Internet Freedom. "
3,2012,Republican,"Preamble, Table of Contents, Job Creation: Getting Americans Back to Work, Small Business and Entrepreneurship, Tax Relief to Grow the Economy and Create Jobs, American Competitiveness in a Global Economy, Fundamental Tax Principles, Reining in Out-of-Control Spending, Balancing the Budget, and Ensuring Sound Monetary Policy, Balancing the Budget, Inflation and the Federal Reserve, Ending the Housing Crisis and Expanding Opportunities for Homeownership, Rebuilding Homeownership, Infrastructure: Building the Future, International Trade: More American Jobs, Higher Wages, and A Better Standard of Living, A Twenty-First Century Workforce, Freedom in the Workplace, A Restoration of Constitutional Order: Congress and the Executive, Defending Marriage Against An Activist Judiciary, A Sacred Contract: Defense of Marriage, Living Within Our Means: A Constitutional Budget, Federalism and The Tenth Amendment, The Continuing Importance of Protecting the Electoral College, Voter Integrity to Ensure Honest Elections, The First Amendment: The Foresight of Our Founders to Protect Religious Freedom, The First Amendment: Speech that is Protected, The Second Amendment: Our Right to Keep and Bear Arms, The Fourth Amendment: Liberty and Privacy, The Fifth Amendment: Protecting Private Property, The Ninth Amendment: Affirming the People's Rights, The Sanctity and Dignity of Human Life, Respect for Our Flag: Symbol of the Constitution, American Sovereignty in U.S. Courts, Domestic Energy Independence: An ""All of the Above"" Energy Policy, Our Nation's Energy Abundance, Pulling the Plug on American Energy Independence: The Failure of the Current Administration, Agriculture, Protecting Our Environment, Our Republican Party's Commitment to Conservation, Reining in the EPA, Saving Medicare for Future Generations, Strengthening Medicaid in the States, Security For Those Who Need It: Ensuring Retirement Security, Regulatory Reform: The Key to Economic Growth, Protecting Internet Freedom, A Vision for the Twenty-First Century: Technology, Telecommunications and the Internet, Protecting the Taxpayers: No More ""Too Big to Fail"", Judicial Activism: A Threat to the U.S. Constitution, Restructuring the U.S. Postal Service for the Twenty-First Century, Protecting Travelers and their Rights: Reforming the TSA for Security and Privacy, The Rule of Law: Legal Immigration, Honoring Our Relationship with American Indians, Preserving the District of Columbia, Modernizing the Federal Civil Service, America's Future in Space: Continuing this Quest, Honoring and Supporting Americans in the Territories, Preserving and Protecting Traditional Marriage, Creating a Culture of Hope: Raising Families Beyond Poverty, Adoption and Foster Care, Making the Internet Family-Friendly, Advancing Americans with Disabilities, Repealing Obamacare, Our Prescription for American Healthcare: Improve Quality and Lower Costs, Ensuring Consumer Choice in Healthcare, Supporting Federal Healthcare Research and Development, Protecting Individual Conscience in Healthcare, Reforming the FDA, Reducing Costs through Tort Reform, Education: A Chance for Every Child, Attaining Academic Excellence for All, Consumer Choice in Education, Improving Our Nation's Classrooms, Addressing Rising College Costs, Justice for All: Safe Neighborhoods and Prison Reform, The Current Administration's Failure: Leading From Behind, The Dangers of A Hollow Force: The Looming Sequestration, Leaks for Political Purposes, A Failed National Security Strategy, Conventional Forces in Decline, Nuclear Forces and Missile Defense Imperiled, A Twenty-First Century Threat: The Cybersecurity Danger, An America That Leads: The Republican National Security Strategy for the Future, Supporting our Troops, Standing By Our Heroes, Recognizing and Supporting Military Families, Honoring and Supporting Our Veterans: A Sacred Obligation, Sovereign American Leadership in International Organizations, Protecting Human Rights, America's Generosity: International Assistance that Makes a Difference, Combating Human Trafficking, Promoting a Free Marketplace of Ideas: Public Diplomacy, Strengthening Ties in the Americas, Advancing Hope and Prosperity in Africa, U.S. Leadership in the Asian-Pacific Community, South Asia, Taiwan, China, Europe, Russia, Our Unequivocal Support of Israel, The Challenges of a Changing Middle East, Republican National Committee Chairman, Chairman, Co-Chairmen, Subcommittee Chairs, Restoring the American Dream: Rebuilding the Economy and Creating Jobs, We The People: A Restoration of Constitutional Government, America's Natural Resources: Energy, Agriculture and the Environment, Reforming Government to Serve the People, Renewing American Values to Build Healthy Families, Great Schools and Safe Neighborhoods, American Exceptionalism, Coal, oil and natural gas, Nuclear energy, renewable energy, Private Stewardship of the Environment, Administrative Team:, Court Reporter:, Policy Staff, Special thanks to the following for their valuable insights:, Special thanks to:"
4,2008,Democratic,"I. Renewing the American Dream , Empowering Families for a New Era, Affordable, Quality Health Care Coverage for All Americans , Retirement and Social Security , Good Jobs with Good Pay , Work and Family , Poverty , Opportunity for Women , Investing in American Competitiveness, New American Energy , A World Class Education for Every Child , Higher Education , Science, Technology and Innovation , Creating New Jobs by Rebuilding American Infrastructure , A Connected America , Support Small Business and Entrepreneurship , Real Leadership for Rural America , Economic Stewardship, Restoring Fairness to Our Tax Code , Housing , Reforming Financial Regulation and Corporate Governance , Consumer Protection , Savings , Smart, Strong, and Fair Trade Policies , Fiscal Responsibility , II. Renewing American Leadership , Ending the War in Iraq, Defeating Al Qaeda and Combating Terrorism, Win in Afghanistan , Combat Terrorism , Secure the Homeland , Pursue Intelligence Reform , Preventing the Spread and Use of Weapons of Mass Destruction, A World Without Nuclear Weapons , End the Production of Fissile Material , End Cold War Nuclear Postures , Prevent Iran from Acquiring Nuclear Weapons , De-Nuclearize North Korea , Biological and Chemical Weapons , Stronger Cyber-Security , Revitalizing and Supporting the Military, Keeping Faith With Veterans, Expand the Armed Forces , Recruit and Retain , Rebuild the Military for 21st-Century Tasks , Develop Civilian Capacity to Promote Global Stability and Improve Emergency Response , Do Right by Our Veterans and Their Families , Lift Burdens on Our Troops and Their Families , Support the Readiness of the Guard and Reserve , Allow All Americans to Serve , Reform Contracting Practices and Make Contractors Accountable , Working for Our Common Security, Recommit to an Alliance of the Americas , Lead in Asia , Strengthen Transatlantic Relations , Stand with Allies and Pursue Diplomacy in the Middle East , Deepen Ties with Emerging Powers , Revitalize Global Institutions , Advancing Democracy, Development, and Respect for Human Rights, Build Democratic Institutions , Invest in Our Common Humanity , Global Health , Human Trafficking , Protecting our Security and Saving our Planet, Establish Energy Security , Lead to Combat Climate Change , Seizing the Opportunity, III. Renewing the American Community , Service , Hurricane Katrina , Stewardship of Our Planet and Natural Resources , Metropolitan and Urban Policy , Firearms , Faith , The Arts , Children and Families , Seniors , Choice , Criminal Justice , A More Perfect Union , IV. Renewing American Democracy , Open, Accountable, and Ethical Government , Reclaiming Our Constitution and Our Liberties , Voting Rights , Partnerships with States , Partnership with Civic Institutions , District of Columbia , Tribal Sovereignty , Puerto Rico, Guam, American Samoa, the Northern Mariana Islands, and the U.S. Virgin Islands , RENEWING AMERICA'S PROMISEPreamble, I. Renewing the American Dream , Jumpstart the Economy and Provide Middle Class Americans Immediate Relief, Empowering Families for a New Era, Affordable, Quality Health Care Coverage for All Americans , Retirement and Social Security , Good Jobs with Good Pay , Work and Family , Poverty , Opportunity for Women , Investing in American Competitiveness, New American Energy , A World Class Education for Every Child , Higher Education , Science, Technology and Innovation , Invest in Manufacturing and Our Manufacturing Communities, Creating New Jobs by Rebuilding American Infrastructure , A Connected America , Support Small Business and Entrepreneurship , Real Leadership for Rural America , Economic Stewardship, Restoring Fairness to Our Tax Code , Housing , Reforming Financial Regulation and Corporate Governance , Consumer Protection , Savings , Smart, Strong, and Fair Trade Policies , Fiscal Responsibility , II. Renewing American Leadership , Ending the War in Iraq, Defeating Al Qaeda and Combating Terrorism, Win in Afghanistan , Seek a New Partnership with Pakistan, Combat Terrorism , Secure the Homeland , Pursue Intelligence Reform , Preventing the Spread and Use of Weapons of Mass Destruction, A World Without Nuclear Weapons , Secure Nuclear Weapons and the Materials to Make Them, End the Production of Fissile Material , End Cold War Nuclear Postures , Prevent Iran from Acquiring Nuclear Weapons , De-Nuclearize North Korea , Biological and Chemical Weapons , Stronger Cyber-Security , Revitalizing and Supporting the Military, Keeping Faith With Veterans, Expand the Armed Forces , Recruit and Retain , Rebuild the Military for 21st-Century Tasks , Develop Civilian Capacity to Promote Global Stability and Improve Emergency Response , Do Right by Our Veterans and Their Families , Lift Burdens on Our Troops and Their Families , Support the Readiness of the Guard and Reserve , Allow All Americans to Serve , Reform Contracting Practices and Make Contractors Accountable , Working for Our Common Security, Support Africa's Democratic Development, Recommit to an Alliance of the Americas , Lead in Asia , Strengthen Transatlantic Relations , Stand with Allies and Pursue Diplomacy in the Middle East , Deepen Ties with Emerging Powers , Revitalize Global Institutions , Advancing Democracy, Development, and Respect for Human Rights, Build Democratic Institutions , Invest in Our Common Humanity , Global Health , –, Human Trafficking , Protecting our Security and Saving our Planet, Establish Energy Security , Lead to Combat Climate Change , Seizing the Opportunity, III. Renewing the American Community , Service , Immigration, Hurricane Katrina , Preventing and Responding to Future Catastrophes, Stewardship of Our Planet and Natural Resources , Metropolitan and Urban Policy , Firearms , Faith , The Arts , Americans with Disabilities, Children and Families , Seniors , Choice , Criminal Justice , A More Perfect Union , IV. Renewing American Democracy , Open, Accountable, and Ethical Government , Reclaiming Our Constitution and Our Liberties , Voting Rights , Partnerships with States , Partnership with Civic Institutions , District of Columbia , Tribal Sovereignty , Puerto Rico, Guam, American Samoa, the Northern Mariana Islands, and the U.S. Virgin Islands "
5,2008,Republican,"Chairmen's Preamble, Defending Our Nation, Supporting Our Heroes, Securing the Peace, Defending Our Nation, Supporting Our Heroes, Securing the Peace, Reforming Government to Serve the People, Washington's Failure: the Scope of the Problem, The Budget Process — A Fraud that Guarantees Runaway Spending, Empowering the States, Improving Public Services, Congress Must Improve Oversight of Government Programs, Improving the Work of Government, Domestic Disaster Response, Restoring Our Infrastructure, Entitlement Reform, Appointing Constitutionalist Judges for the Nation's Courts, Protecting the Right to Vote in Fair Elections, Guaranteeing a Constitutional Census in 2010, Working with Americans in the Territories, Preserving the District of Columbia, Expanding Opportunity to Promote Prosperity, Republican Tax Policy: Protecting Hardworking Americans, Small Business: the Engine of Job Growth, Technology and Innovation, Developing a Flexible and Innovative Workforce, Protecting Union Workers, Rebuilding Homeownership, Reforming the Civil Justice System to Improve Competitiveness, Free and Fair Trade, Supporting our Agricultural Communities, Energy Independence and Security, Growing Our Energy Supply , Reducing Demand for Fossil Fuels , Environmental Protection, Addressing Climate Change Responsibly , Continuing Our Stewardship over the Environment , Health Care Reform: Putting Patients First, First Principle: Do No Harm , Patient Control and Portability , Improving Quality of Care and Lowering Costs , Funding Medical Research , Protecting Rights of Conscience , Medicare, Medicaid , Building a Health Care System for Future Emergencies, Education Means a More Competitive America, Principles for Elementary and Secondary Education , Higher Education , Protecting Our Families, Stopping Online Child Predators and Ending Child Pornography , Internet Gambling , Ridding the Nation of Criminal Street Gangs , Locking Up Criminals , Reforming Prisons and Serving Families , Protecting Law Enforcement Officers , Improving Law Enforcement , Continuing the Fight against Illegal Drugs, Protecting the Victims of Crime , Securing Our Civil Liberties , Renewing Neighborhoods, Building Communities , Preserving Our Values, Upholding the Constitutional Right to Keep and Bear Arms , Ensuring Equal Treatment for All , Protecting Our National Symbols , Freedom of Speech and of the Press , Maintaining The Sanctity and Dignity of Human Life , Preserving Traditional Marriage , Safeguarding Religious Liberties , Preserving Americans' Property Rights , Supporting Native American Communities "
6,2004,Democratic,"PREAMBLE, A STRONG, RESPECTED AMERICA, A STRONG, GROWING ECONOMY, STRONG, HEALTHY FAMILIES , A STRONG AMERICAN COMMUNITY, DEFEATING TERRORISM , KEEPING WEAPONS OF MASS DESTRUCTION OUT OF THE HANDS OF TERRORISTS , PROMOTING DEMOCRACY, PEACE, AND SECURITY, STRENGTHENING OUR MILITARY, ACHIEVING ENERGY INDEPENDENCE , STRENGTHENING HOMELAND SECURITY , CREATING GOOD JOBS , STANDING UP FOR THE GREAT AMERICAN MIDDLE CLASS , REFORMING HEALTH CARE , IMPROVING EDUCATION , PROTECTING OUR ENVIRONMENT "
